full_match,partial_match,total,date
19,4,23,2026-05-27
28,4,32,2026-05-28
28,4,32,2026-05-29
28,4,32,2026-05-30
29,4,33,2026-05-31
31,4,35,2026-06-01
34,4,38,2026-06-02
50,5,55,2026-06-03
50,6,56,2026-06-04
53,27,80,2026-06-05
53,27,80,2026-06-06
53,27,80,2026-06-07
53,27,80,2026-06-08
53,27,80,2026-06-09
53,27,80,2026-06-10
53,27,80,2026-06-11
53,27,80,2026-06-12
53,27,80,2026-06-13
54,27,81,2026-06-14
54,27,81,2026-06-15
56,29,85,2026-06-16
56,29,85,2026-06-17
58,29,87,2026-06-18
58,29,87,2026-06-19
58,29,87,2026-06-20
58,29,87,2026-06-21
58,29,87,2026-06-22
62,29,91,2026-06-23
62,29,91,2026-06-24
62,29,91,2026-06-25
87,29,116,2026-06-26
87,29,116,2026-06-27
93,29,122,2026-06-28
94,29,123,2026-06-29
103,29,132,2026-06-30
113,29,142,2026-07-01
113,29,142,2026-07-02
124,29,153,2026-07-03
125,29,154,2026-07-04
125,29,154,2026-07-05
125,29,154,2026-07-06
125,29,154,2026-07-07
125,29,154,2026-07-08
125,29,154,2026-07-09
125,29,154,2026-07-10
125,29,154,2026-07-11
125,29,154,2026-07-12
125,29,154,2026-07-13
125,29,154,2026-07-14
125,29,154,2026-07-15
125,29,154,2026-07-16
185,30,215,2026-07-17
215,30,245,2026-07-18
215,30,245,2026-07-19
222,30,252,2026-07-20
223,30,253,2026-07-21
224,31,255,2026-07-22
224,31,255,2026-07-23
224,31,255,2026-07-24
224,31,255,2026-07-25
224,31,255,2026-07-26
224,31,255,2026-07-27
224,31,255,2026-07-28
224,31,255,2026-07-29
224,31,255,2026-07-30
224,31,255,2026-07-31
224,31,255,2026-08-01
224,31,255,2026-08-02
224,34,258,2026-08-03
225,36,261,2026-08-04
225,36,261,2026-08-05
225,36,261,2026-08-06
225,36,261,2026-08-07
225,43,268,2026-08-08
227,43,270,2026-08-09
227,43,270,2026-08-10
227,43,270,2026-08-11
227,43,270,2026-08-12
227,43,270,2026-08-13
227,43,270,2026-08-14
231,43,274,2026-08-15
231,43,274,2026-08-16
231,43,274,2026-08-17
256,56,312,2026-08-18
274,56,330,2026-08-19
274,56,330,2026-08-20
274,79,353,2026-08-21
275,102,377,2026-08-22
276,102,378,2026-08-23
276,102,378,2026-08-24
276,102,378,2026-08-25
276,102,378,2026-08-26
276,102,378,2026-08-27
285,102,387,2026-08-28
