full_match,partial_match,total,date
64051,286888,350939,2024-04-06
65875,301109,366984,2024-04-07
65875,301109,366984,2024-04-08
67806,316813,384619,2024-04-09
67806,316813,384619,2024-04-10
69479,332673,402152,2024-04-11
69479,332673,402152,2024-04-12
70788,339700,410488,2024-04-13
70788,339700,410488,2024-04-14
71292,342008,413300,2024-04-15
71292,342008,413300,2024-04-16
71292,342008,413300,2024-04-17
72090,345395,417485,2024-04-18
72090,345395,417485,2024-04-19
73708,361145,434853,2024-04-20
73708,361145,434853,2024-04-21
75012,374777,449789,2024-04-22
75012,374777,449789,2024-04-23
76415,389202,465617,2024-04-24
79969,424703,504672,2024-04-30
79969,424703,504672,2024-05-01
81013,438088,519101,2024-05-02
81013,438088,519101,2024-05-03
82127,453269,535396,2024-05-04
82127,453269,535396,2024-05-05
83122,465982,549104,2024-05-06
83122,465982,549104,2024-05-07
83732,468170,551902,2024-05-08
83732,468170,551902,2024-05-09
84238,469646,553884,2024-05-10
84238,469646,553884,2024-05-11
84568,470571,555139,2024-05-12
84568,470571,555139,2024-05-13
84830,471651,556481,2024-05-14
84830,471651,556481,2024-05-15
85246,474872,560118,2024-05-16
85246,474872,560118,2024-05-17
85653,478214,563867,2024-05-18
85653,478214,563867,2024-05-19
86042,481082,567124,2024-05-20
86042,481082,567124,2024-05-21
86424,483795,570219,2024-05-22
86424,483795,570219,2024-05-23
86902,486375,573277,2024-05-24
86902,486375,573277,2024-05-25
87458,488999,576457,2024-05-26
87458,488999,576457,2024-05-27
87945,490720,578665,2024-05-28
87945,490720,578665,2024-05-29
88600,493031,581631,2024-05-30
88600,493031,581631,2024-05-31
89245,495611,584856,2024-06-01
89245,495611,584856,2024-06-02
89803,498561,588364,2024-06-03
89803,498561,588364,2024-06-04
90257,500781,591038,2024-06-05
90257,500781,591038,2024-06-06
90632,502344,592976,2024-06-07
27,157,184,2024-06-08
838,1928,2766,2024-06-09
1152,3354,4506,2024-06-10
1152,3354,4506,2024-06-11
1152,3354,4506,2024-06-12
1152,3354,4506,2024-06-13
1152,3354,4506,2024-06-14
1152,3354,4506,2024-06-15
94755,515509,610264,2024-06-16
94755,515509,610264,2024-06-17
95612,519183,614795,2024-06-18
95612,519183,614795,2024-06-19
96376,521510,617886,2024-06-20
96376,521510,617886,2024-06-21
97061,524164,621225,2024-06-22
97061,524164,621225,2024-06-23
97061,524164,621225,2024-06-24
97616,526844,624460,2024-06-25
97616,526844,624460,2024-06-26
98094,528741,626835,2024-06-27
98094,528741,626835,2024-06-28
98644,530741,629385,2024-06-29
98644,530741,629385,2024-06-30
98980,532605,631585,2024-07-01
98980,532605,631585,2024-07-02
99499,534937,634436,2024-07-03
99499,534937,634436,2024-07-04
99499,534937,634436,2024-07-05
100604,538441,639045,2024-07-06
100604,538441,639045,2024-07-07
100604,538441,639045,2024-07-08
101776,544087,645863,2024-07-09
101776,544087,645863,2024-07-10
101776,544087,645863,2024-07-11
102574,548230,650804,2024-07-12
102574,548230,650804,2024-07-13
102574,548230,650804,2024-07-14
102574,548230,650804,2024-07-15
103072,550814,653886,2024-07-16
103072,550814,653886,2024-07-17
103072,550814,653886,2024-07-18
103849,553989,657838,2024-07-19
103849,553989,657838,2024-07-20
103849,553989,657838,2024-07-21
104555,557152,661707,2024-07-22
104555,557152,661707,2024-07-23
104555,557152,661707,2024-07-24
104976,560312,665288,2024-07-25
104976,560312,665288,2024-07-26
105338,562476,667814,2024-07-27
105338,562476,667814,2024-07-28
105338,562476,667814,2024-07-29
105929,565980,671909,2024-07-30
105929,565980,671909,2024-07-31
105929,565980,671909,2024-08-01
106400,568213,674613,2024-08-02
106400,568213,674613,2024-08-03
106400,568213,674613,2024-08-04
107271,573479,680750,2024-08-05
107271,573479,680750,2024-08-06
107271,573479,680750,2024-08-07
107645,576431,684076,2024-08-08
107645,576431,684076,2024-08-09
107645,576431,684076,2024-08-10
108022,578597,686619,2024-08-11
108022,578597,686619,2024-08-12
108022,578597,686619,2024-08-13
108386,579592,687978,2024-08-14
108678,579744,688422,2024-08-15
108862,580284,689146,2024-08-16
109060,580904,689964,2024-08-17
109238,581474,690712,2024-08-18
109390,582012,691402,2024-08-19
109655,583026,692681,2024-08-20
109937,584279,694216,2024-08-21
110369,586166,696535,2024-08-22
110597,587254,697851,2024-08-23
110798,588405,699203,2024-08-24
110929,589381,700310,2024-08-25
111026,590449,701475,2024-08-26
111281,591739,703020,2024-08-27
111507,592930,704437,2024-08-28
111654,593622,705276,2024-08-29
112867,594341,707208,2024-08-30
116479,595115,711594,2024-08-31
117372,595808,713180,2024-09-01
118401,596531,714932,2024-09-02
118881,597055,715936,2024-09-03
119853,598080,717933,2024-09-04
121630,601420,723050,2024-09-05
124015,606881,730896,2024-09-06
124922,609322,734244,2024-09-07
125758,611683,737441,2024-09-08
126458,612973,739431,2024-09-09
127064,613782,740846,2024-09-10
127917,614473,742390,2024-09-11
128465,615499,743964,2024-09-12
130170,617875,748045,2024-09-13
131599,619474,751073,2024-09-14
134513,622527,757040,2024-09-15
135769,623262,759031,2024-09-16
137165,624231,761396,2024-09-17
138791,625547,764338,2024-09-18
140155,626358,766513,2024-09-19
141584,627903,769487,2024-09-20
143119,628748,771867,2024-09-21
