full_match,partial_match,total,date
32,1,33,2026-05-27
42,1,43,2026-05-28
54,1,55,2026-05-29
65,1,66,2026-05-30
77,1,78,2026-05-31
87,1,88,2026-06-01
94,1,95,2026-06-02
102,1,103,2026-06-03
104,1,105,2026-06-04
123,3,126,2026-06-05
133,4,137,2026-06-06
138,4,142,2026-06-07
153,4,157,2026-06-08
155,5,160,2026-06-09
158,5,163,2026-06-10
163,5,168,2026-06-11
167,5,172,2026-06-12
174,6,180,2026-06-13
176,6,182,2026-06-14
184,6,190,2026-06-15
197,6,203,2026-06-16
202,6,208,2026-06-17
204,6,210,2026-06-18
205,6,211,2026-06-19
206,6,212,2026-06-20
213,6,219,2026-06-21
217,6,223,2026-06-22
220,6,226,2026-06-23
