full_match,partial_match,total,date
27,2,29,2024-04-06
27,2,29,2024-04-07
27,2,29,2024-04-08
27,2,29,2024-04-09
27,2,29,2024-04-10
27,2,29,2024-04-11
27,2,29,2024-04-12
27,2,29,2024-04-13
27,2,29,2024-04-14
28,2,30,2024-04-15
28,2,30,2024-04-16
28,2,30,2024-04-17
30,2,32,2024-04-18
30,2,32,2024-04-19
30,2,32,2024-04-20
30,2,32,2024-04-21
31,2,33,2024-04-22
31,2,33,2024-04-23
31,2,33,2024-04-24
45,2,47,2024-04-30
45,2,47,2024-05-01
47,2,49,2024-05-02
47,2,49,2024-05-03
48,2,50,2024-05-04
48,2,50,2024-05-05
50,2,52,2024-05-06
50,2,52,2024-05-07
50,2,52,2024-05-08
50,2,52,2024-05-09
50,2,52,2024-05-10
50,2,52,2024-05-11
51,2,53,2024-05-12
51,2,53,2024-05-13
51,2,53,2024-05-14
51,2,53,2024-05-15
51,2,53,2024-05-16
51,2,53,2024-05-17
51,2,53,2024-05-18
51,2,53,2024-05-19
55,2,57,2024-05-20
55,2,57,2024-05-21
55,2,57,2024-05-22
55,2,57,2024-05-23
55,2,57,2024-05-24
55,2,57,2024-05-25
55,2,57,2024-05-26
55,2,57,2024-05-27
58,2,60,2024-05-28
