full_match,partial_match,total,date
1,0,1,2026-06-19
1,0,1,2026-06-20
1,0,1,2026-06-21
1,0,1,2026-06-22
1,0,1,2026-06-23
1,0,1,2026-06-24
1,0,1,2026-06-25
4,0,4,2026-06-26
4,0,4,2026-06-27
8,0,8,2026-06-28
8,0,8,2026-06-29
8,0,8,2026-06-30
8,0,8,2026-07-01
8,0,8,2026-07-02
8,0,8,2026-07-03
8,0,8,2026-07-04
8,0,8,2026-07-05
8,0,8,2026-07-06
8,0,8,2026-07-07
8,0,8,2026-07-08
8,0,8,2026-07-09
8,0,8,2026-07-10
8,0,8,2026-07-11
8,0,8,2026-07-12
8,0,8,2026-07-13
8,0,8,2026-07-14
8,0,8,2026-07-15
8,0,8,2026-07-16
20,0,20,2026-07-17
20,0,20,2026-07-18
20,0,20,2026-07-19
20,0,20,2026-07-20
20,0,20,2026-07-21
20,0,20,2026-07-22
20,0,20,2026-07-23
20,0,20,2026-07-24
20,0,20,2026-07-25
20,0,20,2026-07-26
20,0,20,2026-07-27
20,0,20,2026-07-28
20,0,20,2026-07-29
20,0,20,2026-07-30
20,0,20,2026-07-31
20,0,20,2026-08-01
20,0,20,2026-08-02
20,0,20,2026-08-03
20,0,20,2026-08-04
20,0,20,2026-08-05
20,0,20,2026-08-06
20,0,20,2026-08-07
20,0,20,2026-08-08
20,0,20,2026-08-09
20,0,20,2026-08-10
20,0,20,2026-08-11
20,0,20,2026-08-12
20,0,20,2026-08-13
20,0,20,2026-08-14
