full_match,partial_match,total,date
2,1,3,2025-10-29
13,3,16,2025-10-30
33,5,38,2025-10-31
39,6,45,2025-11-01
41,8,49,2025-11-02
46,9,55,2025-11-03
59,11,70,2025-11-04
68,14,82,2025-11-05
77,14,91,2025-11-06
80,14,94,2025-11-07
83,14,97,2025-11-08
86,14,100,2025-11-09
92,16,108,2025-11-10
106,16,122,2025-11-11
113,16,129,2025-11-12
125,17,142,2025-11-13
138,17,155,2025-11-14
169,17,186,2025-11-15
186,18,204,2025-11-16
196,18,214,2025-11-17
211,18,229,2025-11-18
228,18,246,2025-11-19
250,55,305,2025-11-20
256,55,311,2025-11-21
257,59,316,2025-11-22
272,61,333,2025-11-23
284,62,346,2025-11-24
290,63,353,2025-11-25
302,68,370,2025-11-26
307,69,376,2025-11-27
313,70,383,2025-11-28
325,72,397,2025-11-29
328,72,400,2025-11-30
330,73,403,2025-12-01
349,73,422,2025-12-02
361,73,434,2025-12-03
365,78,443,2025-12-04
370,78,448,2025-12-05
376,80,456,2025-12-06
384,81,465,2025-12-07
385,81,466,2025-12-08
391,82,473,2025-12-09
393,84,477,2025-12-10
401,84,485,2025-12-11
408,85,493,2025-12-12
413,86,499,2025-12-13
417,86,503,2025-12-14
419,86,505,2025-12-15
421,88,509,2025-12-16
432,91,523,2025-12-17
441,97,538,2025-12-18
452,97,549,2025-12-19
460,97,557,2025-12-20
475,97,572,2025-12-21
481,98,579,2025-12-22
484,98,582,2025-12-23
488,100,588,2025-12-24
493,100,593,2025-12-25
503,101,604,2025-12-26
508,101,609,2025-12-27
510,101,611,2025-12-28
512,101,613,2025-12-29
520,101,621,2025-12-30
521,101,622,2025-12-31
522,101,623,2026-01-01
526,101,627,2026-01-02
529,101,630,2026-01-03
540,101,641,2026-01-04
541,101,642,2026-01-05
