full_match,partial_match,total,date
6,0,6,2023-04-11
6,0,6,2023-04-12
6,0,6,2023-04-13
6,0,6,2023-04-14
6,0,6,2023-04-15
6,0,6,2023-04-16
6,0,6,2023-04-17
6,0,6,2023-04-18
6,0,6,2023-04-19
6,0,6,2023-04-20
6,0,6,2023-04-21
6,0,6,2023-04-22
6,0,6,2023-04-23
6,0,6,2023-04-24
6,0,6,2023-04-25
6,0,6,2023-04-26
6,0,6,2023-04-27
6,0,6,2023-04-28
6,0,6,2023-04-29
6,0,6,2023-04-30
6,0,6,2023-05-01
6,0,6,2023-05-02
6,0,6,2023-05-03
6,0,6,2023-05-04
6,0,6,2023-05-05
6,0,6,2023-05-06
6,0,6,2023-05-07
6,0,6,2023-05-08
6,0,6,2023-05-09
6,0,6,2023-05-10
6,0,6,2023-05-11
6,0,6,2023-05-12
6,0,6,2023-05-13
6,0,6,2023-05-14
6,0,6,2023-05-15
6,0,6,2023-05-16
6,0,6,2023-05-17
6,0,6,2023-05-18
6,0,6,2023-05-19
6,0,6,2023-05-20
7,0,7,2023-05-21
7,0,7,2023-05-22
7,0,7,2023-05-23
7,0,7,2023-05-24
7,0,7,2023-05-25
7,0,7,2023-05-26
7,0,7,2023-05-27
7,0,7,2023-05-28
7,0,7,2023-05-29
7,0,7,2023-05-30
7,0,7,2023-05-31
7,0,7,2023-06-01
7,0,7,2023-06-02
7,0,7,2023-06-03
7,0,7,2023-06-04
7,0,7,2023-06-05
7,0,7,2023-06-06
7,0,7,2023-06-07
7,0,7,2023-06-08
7,0,7,2023-06-09
7,0,7,2023-06-10
7,0,7,2023-06-11
7,0,7,2023-06-12
7,0,7,2023-06-13
7,0,7,2023-06-14
7,0,7,2023-06-15
7,0,7,2023-06-16
7,0,7,2023-06-17
7,0,7,2023-06-18
7,0,7,2023-06-19
7,0,7,2023-06-20
7,0,7,2023-06-21
7,0,7,2023-06-22
7,0,7,2023-06-23
7,0,7,2023-06-24
7,0,7,2023-06-25
7,0,7,2023-06-26
7,0,7,2023-06-27
7,0,7,2023-06-28
7,0,7,2023-06-29
7,0,7,2023-06-30
7,0,7,2023-07-01
7,0,7,2023-07-02
7,0,7,2023-07-03
7,0,7,2023-07-04
7,0,7,2023-07-05
7,0,7,2023-07-06
7,0,7,2023-07-07
7,0,7,2023-07-08
7,0,7,2023-07-09
7,0,7,2023-07-10
7,0,7,2023-07-11
7,0,7,2023-07-12
7,0,7,2023-07-13
7,0,7,2023-07-14
7,0,7,2023-07-15
7,0,7,2023-07-16
7,0,7,2023-07-17
7,0,7,2023-07-18
7,0,7,2023-07-19
7,0,7,2023-07-20
7,0,7,2023-07-21
7,0,7,2023-07-22
7,0,7,2023-07-23
7,0,7,2023-07-24
7,0,7,2023-07-25
7,0,7,2023-07-26
7,0,7,2023-07-27
7,0,7,2023-07-28
7,0,7,2023-07-29
7,0,7,2023-07-30
7,0,7,2023-07-31
7,0,7,2023-08-01
7,0,7,2023-08-02
7,0,7,2023-08-03
7,0,7,2023-08-04
7,0,7,2023-08-05
7,0,7,2023-08-06
7,0,7,2023-08-07
7,0,7,2023-08-08
7,0,7,2023-08-09
7,0,7,2023-08-10
7,0,7,2023-08-11
7,0,7,2023-08-12
7,0,7,2023-08-13
7,0,7,2023-08-14
7,0,7,2023-08-15
7,0,7,2023-08-16
7,0,7,2023-08-17
7,0,7,2023-08-18
9,0,9,2023-08-19
9,0,9,2023-08-20
9,0,9,2023-08-21
9,0,9,2023-08-22
9,0,9,2023-08-23
9,0,9,2023-08-24
9,0,9,2023-08-25
9,0,9,2023-08-26
9,0,9,2023-08-27
9,0,9,2023-08-28
9,0,9,2023-08-29
9,0,9,2023-08-30
9,0,9,2023-08-31
9,0,9,2023-09-01
9,0,9,2023-09-02
9,0,9,2023-09-03
9,0,9,2023-09-04
9,0,9,2023-09-06
9,0,9,2023-09-07
9,0,9,2023-09-08
9,0,9,2023-09-09
9,0,9,2023-09-10
9,0,9,2023-09-11
9,0,9,2023-09-12
10,0,10,2023-09-13
10,0,10,2023-09-14
10,0,10,2023-09-15
10,0,10,2023-09-16
10,0,10,2023-09-17
10,0,10,2023-09-18
10,0,10,2023-09-19
11,0,11,2023-09-20
11,0,11,2023-09-21
11,0,11,2023-09-22
11,0,11,2023-09-23
11,0,11,2023-09-24
11,0,11,2023-09-25
11,0,11,2023-09-26
11,0,11,2023-09-27
11,0,11,2023-09-28
11,0,11,2023-09-29
11,0,11,2023-09-30
11,0,11,2023-10-02
11,0,11,2023-10-03
