full_match,partial_match,total,date
10,0,10,2024-09-25
10,0,10,2024-09-26
10,0,10,2024-09-27
10,0,10,2024-09-28
10,0,10,2024-09-29
10,0,10,2024-09-30
10,0,10,2024-10-01
10,0,10,2024-10-02
10,0,10,2024-10-03
10,0,10,2024-10-04
10,0,10,2024-10-05
10,0,10,2024-10-06
10,0,10,2024-10-07
10,0,10,2024-10-08
10,0,10,2024-10-09
10,0,10,2024-10-10
20,0,20,2024-10-11
20,0,20,2024-10-12
20,0,20,2024-10-13
20,0,20,2024-10-14
20,0,20,2024-10-15
20,0,20,2024-10-16
20,0,20,2024-10-17
20,0,20,2024-10-18
20,0,20,2024-10-19
20,0,20,2024-10-20
20,0,20,2024-10-21
20,0,20,2024-10-22
21,0,21,2024-10-23
23,0,23,2024-10-24
24,0,24,2024-10-25
31,0,31,2024-10-26
31,0,31,2024-10-27
32,0,32,2024-10-28
32,0,32,2024-10-29
32,0,32,2024-10-30
32,0,32,2024-10-31
34,0,34,2024-11-01
34,0,34,2024-11-02
34,0,34,2024-11-03
34,0,34,2024-11-04
34,0,34,2024-11-05
34,0,34,2024-11-06
34,0,34,2024-11-07
34,0,34,2024-11-08
34,0,34,2024-11-09
34,0,34,2024-11-10
35,0,35,2024-11-11
35,0,35,2024-11-12
36,0,36,2024-11-13
37,0,37,2024-11-14
39,0,39,2024-11-15
45,0,45,2024-11-16
69,0,69,2024-11-17
73,0,73,2024-11-18
73,0,73,2024-11-19
75,0,75,2024-11-20
75,0,75,2024-11-21
85,0,85,2024-11-22
86,0,86,2024-11-23
91,0,91,2024-11-24
93,0,93,2024-11-25
99,0,99,2024-11-26
113,0,113,2024-11-27
119,0,119,2024-11-28
120,0,120,2024-11-29
121,0,121,2024-11-30
121,0,121,2024-12-01
122,0,122,2024-12-02
122,0,122,2024-12-03
122,0,122,2024-12-04
122,0,122,2024-12-05
123,0,123,2024-12-06
125,0,125,2024-12-07
125,0,125,2024-12-08
132,0,132,2024-12-09
134,0,134,2024-12-10
134,0,134,2024-12-11
136,0,136,2024-12-12
136,0,136,2024-12-13
136,0,136,2024-12-14
136,0,136,2024-12-15
136,0,136,2024-12-16
136,0,136,2024-12-17
136,0,136,2024-12-18
136,0,136,2024-12-19
136,0,136,2024-12-20
136,0,136,2024-12-21
136,0,136,2024-12-22
137,0,137,2024-12-23
137,0,137,2024-12-24
137,0,137,2024-12-25
137,0,137,2024-12-26
138,0,138,2024-12-27
138,0,138,2024-12-28
138,0,138,2024-12-29
138,0,138,2024-12-30
138,0,138,2024-12-31
138,0,138,2025-01-01
138,0,138,2025-01-02
138,0,138,2025-01-03
138,0,138,2025-01-04
138,0,138,2025-01-05
142,0,142,2025-01-06
142,0,142,2025-01-07
143,0,143,2025-01-08
143,0,143,2025-01-09
143,0,143,2025-01-10
144,0,144,2025-01-11
