full_match,partial_match,total,date
32,0,32,2024-04-06
32,0,32,2024-04-07
32,0,32,2024-04-08
32,0,32,2024-04-09
32,0,32,2024-04-10
32,0,32,2024-04-11
32,0,32,2024-04-12
32,0,32,2024-04-13
32,0,32,2024-04-14
32,0,32,2024-04-15
32,0,32,2024-04-16
32,0,32,2024-04-17
32,0,32,2024-04-18
32,0,32,2024-04-19
32,0,32,2024-04-20
32,0,32,2024-04-21
32,0,32,2024-04-22
32,0,32,2024-04-23
32,0,32,2024-04-24
22,0,22,2024-04-30
22,0,22,2024-05-01
22,0,22,2024-05-02
22,0,22,2024-05-03
22,0,22,2024-05-04
22,0,22,2024-05-05
22,0,22,2024-05-06
22,0,22,2024-05-07
22,0,22,2024-05-08
22,0,22,2024-05-09
22,0,22,2024-05-10
22,0,22,2024-05-11
22,0,22,2024-05-12
22,0,22,2024-05-13
22,0,22,2024-05-14
22,0,22,2024-05-15
22,0,22,2024-05-16
22,0,22,2024-05-17
22,0,22,2024-05-18
22,0,22,2024-05-19
22,0,22,2024-05-20
22,0,22,2024-05-21
22,0,22,2024-05-22
22,0,22,2024-05-23
22,0,22,2024-05-24
22,0,22,2024-05-25
22,0,22,2024-05-26
22,0,22,2024-05-27
22,0,22,2024-05-28
